"No.","Time","Source","Destination","Protocol","Length","Info"
"10356","12.032114","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=27937425 Ack=1 Win=1005 Len=1448 TSval=867149421 TSecr=2681686606"
"10405","12.065444","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=28015337 Ack=1 Win=1005 Len=1448 TSval=867149455 TSecr=2681686636"
"10431","12.100255","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=28093249 Ack=1 Win=1005 Len=1448 TSval=867149489 TSecr=2681686682"
"10492","12.133038","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=28172609 Ack=1 Win=1005 Len=1448 TSval=867149522 TSecr=2681686708"
"10515","12.170480","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=28249073 Ack=1 Win=1005 Len=8200 TSval=867149556 TSecr=2681686738"
"10536","12.200434","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=28331081 Ack=1 Win=1005 Len=1448 TSval=867149589 TSecr=2681686771"
"10586","12.232554","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=28408993 Ack=1 Win=1005 Len=1448 TSval=867149622 TSecr=2681686807"
"10641","12.266156","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=28486905 Ack=1 Win=1005 Len=1448 TSval=867149655 TSecr=2681686841"
"10684","12.300131","192.168.1.1","172.23.69.13","TCP","5376","80 → 50034 [PSH, ACK] Seq=28563609 Ack=1 Win=1005 Len=5304 TSval=867149688 TSecr=2681686872"
"10732","12.332541","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=28640073 Ack=1 Win=1005 Len=2896 TSval=867149721 TSecr=2681686903"
"10753","12.369094","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=28716537 Ack=1 Win=1005 Len=8200 TSval=867149755 TSecr=2681686937"
"10771","12.402731","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=28794449 Ack=1 Win=1005 Len=8200 TSval=867149788 TSecr=2681686970"
"10788","12.432127","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=28872361 Ack=1 Win=1005 Len=1448 TSval=867149821 TSecr=2681687013"
"10815","12.465414","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=28950273 Ack=1 Win=1005 Len=1448 TSval=867149855 TSecr=2681687036"
"10843","12.498932","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=29028185 Ack=1 Win=1005 Len=1448 TSval=867149888 TSecr=2681687069"
"10888","12.532797","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=29104889 Ack=1 Win=1005 Len=1448 TSval=867149922 TSecr=2681687108"
"10935","12.566208","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=29179905 Ack=1 Win=1005 Len=8200 TSval=867149955 TSecr=2681687136"
"10982","12.599022","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=29259265 Ack=1 Win=1005 Len=2896 TSval=867149988 TSecr=2681687169"
"11019","12.633216","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=29337177 Ack=1 Win=1005 Len=1448 TSval=867150022 TSecr=2681687204"
"11048","12.666688","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=29413641 Ack=1 Win=1005 Len=8200 TSval=867150055 TSecr=2681687242"
"11079","12.708585","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=29491553 Ack=1 Win=1005 Len=8200 TSval=867150089 TSecr=2681687269"
"11095","12.736620","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=29569465 Ack=1 Win=1005 Len=8200 TSval=867150122 TSecr=2681687306"
"11114","12.765905","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=29644721 Ack=1 Win=1005 Len=2896 TSval=867150155 TSecr=2681687343"
"11139","12.798933","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=29724081 Ack=1 Win=1005 Len=1448 TSval=867150188 TSecr=2681687372"
"11184","12.832396","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=29800545 Ack=1 Win=1005 Len=1448 TSval=867150221 TSecr=2681687404"
"11202","12.865705","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=29878457 Ack=1 Win=1005 Len=1448 TSval=867150255 TSecr=2681687441"
"11267","12.898924","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=29956369 Ack=1 Win=1005 Len=1448 TSval=867150288 TSecr=2681687469"
"11284","12.932305","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=30032833 Ack=1 Win=1005 Len=1448 TSval=867150321 TSecr=2681687505"
"11306","12.965781","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=30110745 Ack=1 Win=1005 Len=1448 TSval=867150355 TSecr=2681687540"
"11334","12.999006","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=30187449 Ack=1 Win=1005 Len=1448 TSval=867150388 TSecr=2681687568"
"11369","13.032562","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=30265361 Ack=1 Win=1005 Len=1448 TSval=867150422 TSecr=2681687602"
"11408","13.065603","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=30341825 Ack=1 Win=1005 Len=1448 TSval=867150455 TSecr=2681687636"
"11447","13.099769","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=30418289 Ack=1 Win=1005 Len=8200 TSval=867150488 TSecr=2681687672"
"11467","13.132207","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=30496201 Ack=1 Win=1005 Len=1448 TSval=867150521 TSecr=2681687708"
"11525","13.166741","192.168.1.1","172.23.69.13","TCP","7312","80 → 50034 [ACK] Seq=30574113 Ack=1 Win=1005 Len=7240 TSval=867150555 TSecr=2681687736"
"11552","13.199145","192.168.1.1","172.23.69.13","TCP","5864","80 → 50034 [ACK] Seq=30647921 Ack=1 Win=1005 Len=5792 TSval=867150588 TSecr=2681687769"
"11598","13.232250","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=30727281 Ack=1 Win=1005 Len=1448 TSval=867150621 TSecr=2681687808"
"11632","13.265551","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=30805193 Ack=1 Win=1005 Len=1448 TSval=867150655 TSecr=2681687836"
"11673","13.300557","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=30881657 Ack=1 Win=1005 Len=8200 TSval=867150688 TSecr=2681687882"
"11689","13.333233","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=30959569 Ack=1 Win=1005 Len=8200 TSval=867150721 TSecr=2681687904"
"11729","13.365963","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=31037481 Ack=1 Win=1005 Len=1448 TSval=867150755 TSecr=2681687940"
"11752","13.399249","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=31114185 Ack=1 Win=1005 Len=1448 TSval=867150788 TSecr=2681687974"
"11789","13.432663","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=31192097 Ack=1 Win=1005 Len=1448 TSval=867150822 TSecr=2681688010"
"11837","13.465841","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=31268561 Ack=1 Win=1005 Len=1448 TSval=867150855 TSecr=2681688036"
"11879","13.499772","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=31346473 Ack=1 Win=1005 Len=2896 TSval=867150889 TSecr=2681688082"
"11921","13.534156","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=31422937 Ack=1 Win=1005 Len=8200 TSval=867150922 TSecr=2681688103"
"11970","13.566715","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=31500849 Ack=1 Win=1005 Len=1448 TSval=867150956 TSecr=2681688137"
"11987","13.599317","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=31578761 Ack=1 Win=1005 Len=1448 TSval=867150988 TSecr=2681688173"
"12025","13.632663","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=31655465 Ack=1 Win=1005 Len=1448 TSval=867151022 TSecr=2681688204"
"12063","13.665957","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=31733377 Ack=1 Win=1005 Len=1448 TSval=867151055 TSecr=2681688240"
"12117","13.699009","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=31809841 Ack=1 Win=1005 Len=2896 TSval=867151088 TSecr=2681688269"
"12138","13.732524","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=31887753 Ack=1 Win=1005 Len=2896 TSval=867151121 TSecr=2681688308"
"12156","13.766354","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=31964217 Ack=1 Win=1005 Len=8200 TSval=867151155 TSecr=2681688348"
"12191","13.799018","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=32042129 Ack=1 Win=1005 Len=1448 TSval=867151188 TSecr=2681688374"
"12223","13.833264","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=32120041 Ack=1 Win=1005 Len=1448 TSval=867151222 TSecr=2681688402"
"12246","13.865732","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=32196745 Ack=1 Win=1005 Len=1448 TSval=867151255 TSecr=2681688441"
"12296","13.899371","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=32274657 Ack=1 Win=1005 Len=1448 TSval=867151288 TSecr=2681688469"
"12319","13.932487","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=32351121 Ack=1 Win=1005 Len=1448 TSval=867151322 TSecr=2681688504"
"12347","13.965621","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=32429033 Ack=1 Win=1005 Len=1448 TSval=867151355 TSecr=2681688544"
"12377","13.998896","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=32505497 Ack=1 Win=1005 Len=1448 TSval=867151388 TSecr=2681688569"
"12419","14.033700","192.168.1.1","172.23.69.13","TCP","7312","80 → 50034 [ACK] Seq=32583409 Ack=1 Win=1005 Len=7240 TSval=867151422 TSecr=2681688602"
"12435","14.068739","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=32657217 Ack=1 Win=1005 Len=8200 TSval=867151455 TSecr=2681688647"
"12464","14.099888","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=32735129 Ack=1 Win=1005 Len=8200 TSval=867151488 TSecr=2681688669"
"12481","14.134200","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=32813041 Ack=1 Win=1005 Len=8200 TSval=867151521 TSecr=2681688707"
"12506","14.166489","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=32892401 Ack=1 Win=1005 Len=1448 TSval=867151555 TSecr=2681688736"
"12546","14.199841","192.168.1.1","172.23.69.13","TCP","7312","80 → 50034 [ACK] Seq=32968865 Ack=1 Win=1005 Len=7240 TSval=867151588 TSecr=2681688770"
"12593","14.232483","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=33046777 Ack=1 Win=1005 Len=1448 TSval=867151622 TSecr=2681688807"
"12632","14.264986","192.168.1.1","172.23.69.13","TCP","1280","80 → 50034 [PSH, ACK] Seq=33123481 Ack=1 Win=1005 Len=1208 TSval=867151654 TSecr=2681688835"
"12650","14.299177","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=33199945 Ack=1 Win=1005 Len=2896 TSval=867151688 TSecr=2681688873"
"12668","14.334848","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=33276409 Ack=1 Win=1005 Len=8200 TSval=867151722 TSecr=2681688903"
"12699","14.365859","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=33355769 Ack=1 Win=1005 Len=1448 TSval=867151755 TSecr=2681688949"
"12744","14.399330","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=33433681 Ack=1 Win=1005 Len=4344 TSval=867151788 TSecr=2681688973"
"12761","14.436842","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=33510145 Ack=1 Win=1005 Len=8200 TSval=867151822 TSecr=2681689004"
"12795","14.467268","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=33588057 Ack=1 Win=1005 Len=8200 TSval=867151855 TSecr=2681689043"
"12837","14.502202","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=33661865 Ack=1 Win=1005 Len=8200 TSval=867151889 TSecr=2681689069"
"12857","14.535735","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=33739777 Ack=1 Win=1005 Len=8200 TSval=867151922 TSecr=2681689103"
"12901","14.565920","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=33819137 Ack=1 Win=1005 Len=1448 TSval=867151955 TSecr=2681689144"
"12923","14.598984","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=33897049 Ack=1 Win=1005 Len=1448 TSval=867151988 TSecr=2681689175"
"12944","14.633140","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=33973513 Ack=1 Win=1005 Len=1448 TSval=867152022 TSecr=2681689203"
"13001","14.665634","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=34051425 Ack=1 Win=1005 Len=1448 TSval=867152055 TSecr=2681689237"
"13055","14.703198","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=34129337 Ack=1 Win=1005 Len=8200 TSval=867152088 TSecr=2681689269"
"13075","14.732433","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=34204593 Ack=1 Win=1005 Len=2896 TSval=867152121 TSecr=2681689302"
"13104","14.765619","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=34282505 Ack=1 Win=1005 Len=1448 TSval=867152155 TSecr=2681689340"
"13140","14.799194","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=34360417 Ack=1 Win=1005 Len=1448 TSval=867152188 TSecr=2681689369"
"13154","14.835333","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=34436881 Ack=1 Win=1005 Len=8200 TSval=867152222 TSecr=2681689412"
"13202","14.865717","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=34514793 Ack=1 Win=1005 Len=1448 TSval=867152255 TSecr=2681689437"
"13220","14.899827","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=34592705 Ack=1 Win=1005 Len=8200 TSval=867152288 TSecr=2681689479"
"13267","14.935610","192.168.1.1","172.23.69.13","TCP","4176","80 → 50034 [PSH, ACK] Seq=34666513 Ack=1 Win=1005 Len=4104 TSval=867152322 TSecr=2681689508"
"13300","14.968695","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=34747321 Ack=1 Win=1005 Len=2896 TSval=867152357 TSecr=2681689539"
"13319","15.000279","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=34822337 Ack=1 Win=1005 Len=8200 TSval=867152389 TSecr=2681689576"
"13336","15.031668","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=34901697 Ack=1 Win=1005 Len=1448 TSval=867152421 TSecr=2681689604"
"13357","15.064762","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=34979609 Ack=1 Win=1005 Len=1448 TSval=867152454 TSecr=2681689641"
"13382","15.105174","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=35056073 Ack=1 Win=1005 Len=8200 TSval=867152490 TSecr=2681689668"
"13403","15.135420","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=35133985 Ack=1 Win=1005 Len=1448 TSval=867152524 TSecr=2681689709"
"13422","15.166908","192.168.1.1","172.23.69.13","TCP","7312","80 → 50034 [ACK] Seq=35211897 Ack=1 Win=1005 Len=7240 TSval=867152555 TSecr=2681689748"
"13458","15.201993","192.168.1.1","172.23.69.13","TCP","6824","80 → 50034 [PSH, ACK] Seq=35287153 Ack=1 Win=1005 Len=6752 TSval=867152588 TSecr=2681689769"
"13487","15.232624","192.168.1.1","172.23.69.13","TCP","5376","80 → 50034 [PSH, ACK] Seq=35366513 Ack=1 Win=1005 Len=5304 TSval=867152621 TSecr=2681689806"
"13512","15.267179","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=35442977 Ack=1 Win=1005 Len=1448 TSval=867152656 TSecr=2681689844"
"13534","15.300052","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=35520889 Ack=1 Win=1005 Len=2896 TSval=867152689 TSecr=2681689873"
"13578","15.333173","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=35598801 Ack=1 Win=1005 Len=1448 TSval=867152722 TSecr=2681689903"
"13607","15.368653","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=35675265 Ack=1 Win=1005 Len=8200 TSval=867152756 TSecr=2681689944"
"13649","15.406869","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=35753177 Ack=1 Win=1005 Len=8200 TSval=867152789 TSecr=2681689972"
"13664","15.432673","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=35829881 Ack=1 Win=1005 Len=4344 TSval=867152821 TSecr=2681690009"
"13697","15.465696","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=35907793 Ack=1 Win=1005 Len=1448 TSval=867152855 TSecr=2681690047"
"13725","15.501443","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=35984257 Ack=1 Win=1005 Len=1448 TSval=867152890 TSecr=2681690069"
"13759","15.532256","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=36062169 Ack=1 Win=1005 Len=1448 TSval=867152921 TSecr=2681690108"
"13810","15.565673","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=36140081 Ack=1 Win=1005 Len=1448 TSval=867152955 TSecr=2681690136"
"13872","15.599324","192.168.1.1","172.23.69.13","TCP","7312","80 → 50034 [ACK] Seq=36216545 Ack=1 Win=1005 Len=7240 TSval=867152988 TSecr=2681690171"
"13888","15.635307","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=36294457 Ack=1 Win=1005 Len=1448 TSval=867153024 TSecr=2681690205"
"13917","15.666130","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=36368265 Ack=1 Win=1005 Len=4344 TSval=867153055 TSecr=2681690243"
"13933","15.700254","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=36446177 Ack=1 Win=1005 Len=8200 TSval=867153088 TSecr=2681690272"
"13962","15.736493","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=36524089 Ack=1 Win=1005 Len=8200 TSval=867153121 TSecr=2681690305"
"13982","15.770331","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=36602001 Ack=1 Win=1005 Len=8200 TSval=867153157 TSecr=2681690336"
"14001","15.801224","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=36679913 Ack=1 Win=1005 Len=8200 TSval=867153189 TSecr=2681690372"
"14024","15.832452","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=36757825 Ack=1 Win=1005 Len=1448 TSval=867153221 TSecr=2681690408"
"14061","15.867829","192.168.1.1","172.23.69.13","TCP","5376","80 → 50034 [PSH, ACK] Seq=36834529 Ack=1 Win=1005 Len=5304 TSval=867153256 TSecr=2681690436"
"14088","15.903083","192.168.1.1","172.23.69.13","TCP","5864","80 → 50034 [ACK] Seq=36909545 Ack=1 Win=1005 Len=5792 TSval=867153292 TSecr=2681690471"
"14127","15.934960","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=36987457 Ack=1 Win=1005 Len=8200 TSval=867153323 TSecr=2681690508"
"14144","15.966882","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=37066817 Ack=1 Win=1005 Len=2896 TSval=867153356 TSecr=2681690538"
"14184","15.999171","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=37144729 Ack=1 Win=1005 Len=1448 TSval=867153388 TSecr=2681690572"
"14210","16.034380","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=37221193 Ack=1 Win=1005 Len=8200 TSval=867153421 TSecr=2681690607"
"14234","16.067092","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=37299105 Ack=1 Win=1005 Len=8200 TSval=867153454 TSecr=2681690640"
"14254","16.100496","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=37372913 Ack=1 Win=1005 Len=8200 TSval=867153488 TSecr=2681690669"
"14277","16.133164","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=37450825 Ack=1 Win=1005 Len=8200 TSval=867153521 TSecr=2681690702"
"14312","16.165836","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=37530185 Ack=1 Win=1005 Len=1448 TSval=867153555 TSecr=2681690739"
"14358","16.202085","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=37606649 Ack=1 Win=1005 Len=8200 TSval=867153588 TSecr=2681690772"
"14371","16.232175","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=37684561 Ack=1 Win=1005 Len=1448 TSval=867153621 TSecr=2681690811"
"14400","16.265700","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=37762473 Ack=1 Win=1005 Len=1448 TSval=867153655 TSecr=2681690839"
"14438","16.300361","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=37840385 Ack=1 Win=1005 Len=1448 TSval=867153689 TSecr=2681690873"
"14504","16.332433","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=37917089 Ack=1 Win=1005 Len=1448 TSval=867153721 TSecr=2681690905"
"14553","16.368997","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=37992105 Ack=1 Win=1005 Len=8200 TSval=867153755 TSecr=2681690940"
"14567","16.401124","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=38070017 Ack=1 Win=1005 Len=8200 TSval=867153788 TSecr=2681690970"
"14609","16.432096","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=38149377 Ack=1 Win=1005 Len=1448 TSval=867153821 TSecr=2681691004"
"14668","16.468705","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=38225841 Ack=1 Win=1005 Len=8200 TSval=867153856 TSecr=2681691041"
"14701","16.499181","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=38303753 Ack=1 Win=1005 Len=1448 TSval=867153888 TSecr=2681691073"
"14724","16.534015","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=38377561 Ack=1 Win=1005 Len=8200 TSval=867153921 TSecr=2681691106"
"14775","16.566818","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=38455473 Ack=1 Win=1005 Len=4344 TSval=867153956 TSecr=2681691137"
"14814","16.599184","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=38536281 Ack=1 Win=1005 Len=1448 TSval=867153988 TSecr=2681691170"
"14830","16.633897","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=38611297 Ack=1 Win=1005 Len=8200 TSval=867154021 TSecr=2681691209"
"14866","16.665965","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=38689209 Ack=1 Win=1005 Len=8200 TSval=867154055 TSecr=2681691235"
"14903","16.705694","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=38767121 Ack=1 Win=1005 Len=8200 TSval=867154089 TSecr=2681691269"
"14919","16.734258","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=38845033 Ack=1 Win=1005 Len=8200 TSval=867154121 TSecr=2681691304"
"14961","16.765671","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=38921737 Ack=1 Win=1005 Len=1448 TSval=867154155 TSecr=2681691335"
"15008","16.799128","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=38999649 Ack=1 Win=1005 Len=2896 TSval=867154188 TSecr=2681691372"
"15023","16.833715","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=39074665 Ack=1 Win=1005 Len=8200 TSval=867154221 TSecr=2681691409"
"15050","16.866512","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=39152577 Ack=1 Win=1005 Len=8200 TSval=867154255 TSecr=2681691436"
"15082","16.904352","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=39230489 Ack=1 Win=1005 Len=8200 TSval=867154288 TSecr=2681691471"
"15099","16.936866","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=39308401 Ack=1 Win=1005 Len=8200 TSval=867154321 TSecr=2681691503"
"15123","16.968363","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=39386313 Ack=1 Win=1005 Len=8200 TSval=867154355 TSecr=2681691535"
"15151","17.001061","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=39460121 Ack=1 Win=1005 Len=8200 TSval=867154388 TSecr=2681691569"
"15187","17.033544","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=39538033 Ack=1 Win=1005 Len=8200 TSval=867154421 TSecr=2681691602"
"15239","17.065733","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=39617393 Ack=1 Win=1005 Len=2896 TSval=867154455 TSecr=2681691636"
"15278","17.103698","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=39693857 Ack=1 Win=1005 Len=8200 TSval=867154489 TSecr=2681691670"
"15308","17.133669","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=39771769 Ack=1 Win=1005 Len=8200 TSval=867154521 TSecr=2681691704"
